Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Ozzie Smith#,26,SDP,NL,1,110,507,450,53,100,11,2,0,21,22,12,41,37,0.222,0.294,0.256,0.549,62,0.276,63,115,8,5,10,1,1,*6,ASGG,smithoz01
2,Dwight Evans,29,BOS,AL,6.7,108,504,412,84,122,19,4,22,71,3,2,85,85,0.296,0.415,0.522,0.937,163,0.427,166,215,8,1,3,3,1,*9,ASMVP-3GGSS,evansdw01
3,Jim Rice,28,BOS,AL,2.5,108,495,451,51,128,18,1,17,62,2,2,34,76,0.284,0.333,0.441,0.775,117,0.36,117,199,14,3,0,7,3,*7,,riceji01
4,Rickey Henderson,22,OAK,AL,6.7,108,493,423,89,135,18,7,6,35,56,22,64,68,0.319,0.408,0.437,0.845,151,0.398,151,185,7,2,0,4,4,*7/H,MVP-2GGSS,henderi01
5,Rick Burleson,30,CAL,AL,4.5,109,490,430,53,126,17,1,5,33,4,6,42,38,0.293,0.357,0.372,0.729,112,0.347,117,160,8,3,11,4,2,*6,ASSS,burleri01
6,Pete Rose#,40,PHI,NL,1.7,107,486,431,73,140,18,5,0,33,4,4,46,26,0.325,0.391,0.39,0.781,119,0.373,126,168,8,3,1,3,5,*3,ASMVP-10SS,rosepe01
7,Dwayne Murphy*,26,OAK,AL,4.4,107,477,390,58,98,10,3,15,60,10,4,73,91,0.251,0.369,0.408,0.777,130,0.362,130,159,6,2,8,4,6,*8/D,MVP-11GG,murphdw01
8,George Foster,32,CIN,NL,3.7,108,472,414,64,122,23,2,22,90,4,0,51,75,0.295,0.373,0.519,0.892,150,0.412,155,215,12,3,0,4,5,*7,ASMVP-3SS,fostege01
9,Dave Concepción,33,CIN,NL,3.7,106,468,421,57,129,28,0,5,67,4,5,37,61,0.306,0.358,0.409,0.767,116,0.358,118,172,13,1,2,7,1,*6,ASMVP-4SS,conceda01
10,Omar Moreno*,28,PIT,NL,1,103,468,434,62,120,18,8,1,35,39,14,26,76,0.276,0.319,0.362,0.681,90,0.327,86,157,1,3,1,4,4,*8,,morenom01
11,Willie Wilson#,25,KCR,AL,4.1,102,465,439,54,133,10,7,1,32,34,8,18,42,0.303,0.335,0.364,0.7,104,0.337,100,160,5,4,3,1,3,*78,,wilsowi02
12,Tom Herr#,25,STL,NL,2.1,103,463,411,50,110,14,9,0,46,23,7,39,30,0.268,0.329,0.345,0.674,90,0.328,88,142,9,1,6,5,3,*4,MVP-22,herrto01
13,Alan Trammell,23,DET,AL,3.8,105,463,392,52,101,15,3,2,31,10,3,49,31,0.258,0.342,0.327,0.669,92,0.323,91,128,10,3,16,3,2,*6/H,MVP-21GG,trammal01
14,Tony Armas,27,OAK,AL,4.2,109,462,440,51,115,24,3,22,76,5,1,19,115,0.261,0.294,0.48,0.774,126,0.355,125,211,6,2,0,1,6,*9/8,ASMVP-4,armasto01
15,Steve Garvey,32,LAD,NL,2,110,461,431,63,122,23,1,10,64,3,5,25,49,0.283,0.322,0.411,0.732,110,0.345,114,177,8,1,1,3,6,*3,ASMVP-25,garvest01
16,Iván de Jesús,28,CHC,NL,-1.3,106,460,403,49,78,8,4,0,13,21,9,46,61,0.194,0.276,0.233,0.509,44,0.256,35,94,2,0,10,1,2,*6,,dejesiv01
17,Chris Chambliss*,32,ATL,NL,1.3,107,455,404,44,110,25,2,8,51,4,1,44,41,0.272,0.343,0.403,0.746,109,0.345,105,163,11,1,2,3,10,*3,,chambch01
