Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Juan Samuel,26,PHI,NL,3.7,160,726,655,113,178,37,15,28,100,35,15,60,162,0.272,0.335,0.502,0.837,116,0.369,115,329,12,5,0,6,5,*4/H,ASMVP-13SS,samueju01
2,Kevin Seitzer,25,KCR,AL,5.5,161,725,641,105,207,33,8,15,83,12,7,80,85,0.323,0.399,0.47,0.869,128,0.401,140,301,18,2,1,1,0,*53/7D,ASMVP-20ROY-2,seitzke01
3,Robin Yount,31,MIL,AL,3.3,158,723,635,99,198,25,9,21,103,19,9,76,94,0.312,0.384,0.479,0.862,125,0.382,126,304,9,1,6,5,10,*8/DH,MVP-18,yountro01
4,Bill Doran#,29,HOU,NL,4.7,162,719,625,82,177,23,3,16,79,31,11,82,64,0.283,0.365,0.406,0.772,108,0.358,113,254,11,3,2,7,3,*4/6,MVP-18,doranbi02
5,Cal Ripken Jr.,26,BAL,AL,3.3,162,717,624,97,157,28,3,27,98,3,5,81,77,0.252,0.333,0.436,0.769,105,0.344,107,272,19,1,0,11,0,*6,AS,ripkeca01
6,Ozzie Smith#,32,STL,NL,6.4,158,706,600,104,182,40,4,0,75,43,9,89,36,0.303,0.392,0.383,0.775,105,0.372,113,230,9,1,12,4,3,*6/H,ASMVP-2GGSS,smithoz01
7,Phil Bradley,28,SEA,AL,3.4,158,702,603,101,179,38,10,14,67,40,10,84,119,0.297,0.387,0.463,0.85,120,0.384,121,279,18,8,1,5,2,*7,,bradlph01
8,Vince Coleman#,25,STL,NL,2.8,151,702,623,121,180,14,10,3,43,109,22,70,126,0.289,0.363,0.358,0.721,91,0.367,100,223,7,3,5,1,0,*7/H,MVP-12,colemvi01
9,Rubén Sierra#,21,TEX,AL,1,158,696,643,97,169,35,4,30,109,16,11,39,114,0.263,0.302,0.47,0.771,101,0.326,92,302,18,2,0,12,4,*9/8H,MVP-20,sierrru01
10,Devon White#,24,CAL,AL,5.6,159,696,639,103,168,33,5,24,87,32,11,39,135,0.263,0.306,0.443,0.749,99,0.346,105,283,8,2,14,2,2,*98/7H,ROY-5,whitede03
11,Brian Downing,36,CAL,AL,4,155,695,567,110,154,29,3,29,77,5,5,106,85,0.272,0.4,0.487,0.886,137,0.391,140,276,10,17,2,3,6,*D7/H,,downibr01
12,Eddie Murray#,31,BAL,AL,3.9,160,694,618,89,171,28,3,30,91,1,2,73,80,0.277,0.352,0.477,0.829,120,0.363,119,295,15,0,0,3,6,*3/D,,murraed02
13,Dale Murphy,31,ATL,NL,7.7,159,693,566,115,167,27,1,44,105,16,6,115,136,0.295,0.417,0.58,0.997,157,0.432,162,328,11,7,0,5,29,*9,ASMVP-11,murphda05
14,José Canseco,22,OAK,AL,1.6,159,691,630,81,162,35,3,31,113,15,3,50,157,0.257,0.31,0.47,0.78,110,0.34,105,296,16,2,0,9,2,*7D/H,MVP-23,cansejo01
15,Lou Whitaker*,30,DET,AL,3.6,149,684,604,110,160,38,6,16,59,13,5,71,108,0.265,0.341,0.427,0.768,106,0.346,107,258,5,1,4,4,2,*4/H,ASSS,whitalo01
16,Von Hayes*,28,PHI,NL,3.6,158,681,556,84,154,36,5,21,84,16,7,121,77,0.277,0.404,0.473,0.877,129,0.389,131,263,12,0,0,4,12,*38/7H9,,hayesvo01
17,Tony Gwynn*,27,SDP,NL,8.6,157,680,589,119,218,36,13,7,54,56,12,82,35,0.37,0.447,0.511,0.958,158,0.437,166,301,13,3,2,4,26,*9/H,ASMVP-8GGSS,gwynnto01
18,Keith Hernandez*,33,NYM,NL,3.4,154,676,587,87,170,28,2,18,89,0,2,81,104,0.29,0.377,0.436,0.813,120,0.37,126,256,15,4,0,4,8,*3/H,ASGG,hernake01
19,Mitch Webster#,28,MON,NL,3.3,156,676,588,101,165,30,8,15,63,33,10,70,95,0.281,0.361,0.435,0.796,108,0.364,109,256,6,6,8,4,5,*9/H,,webstmi01
20,Lloyd Moseby*,27,TOR,AL,4,155,670,592,106,167,27,4,26,96,39,7,70,124,0.282,0.358,0.473,0.831,117,0.384,123,280,11,2,3,3,4,*8/HD,,mosebll01
