Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Wade Boggs*,27,BOS,AL,9.1,161,758,653,107,240,42,3,8,78,2,1,96,61,0.368,0.45,0.478,0.928,151,0.429,163,312,20,4,3,2,5,*5/H,ASMVP-4,boggswa01
2,Dwight Evans,33,BOS,AL,4.1,159,744,617,110,162,29,1,29,78,7,2,114,105,0.263,0.378,0.454,0.832,124,0.385,131,280,16,5,1,7,4,*9/D,GG,evansdw01
3,Kirby Puckett,25,MIN,AL,2.9,161,744,691,80,199,29,13,4,74,21,12,41,87,0.288,0.33,0.385,0.715,92,0.327,90,266,9,4,5,3,0,*8/H,MVP-21,puckeki01
4,Don Mattingly*,24,NYY,AL,6.4,159,727,652,107,211,48,3,35,145,2,2,56,41,0.324,0.371,0.567,0.939,156,0.413,159,370,15,2,2,15,13,*3,ASMVP-1GGSS,mattido01
5,Bill Buckner*,35,BOS,AL,1.5,162,719,673,89,201,46,3,16,110,18,4,30,36,0.299,0.325,0.447,0.773,106,0.344,100,301,16,2,2,11,5,*3,,bucknbi01
6,Cal Ripken Jr.,24,BAL,AL,5.6,161,718,642,116,181,32,5,26,110,2,3,67,68,0.282,0.347,0.469,0.816,124,0.371,129,301,32,1,0,8,1,*6,ASMVP-17SS,ripkeca01
7,Phil Bradley,26,SEA,AL,4.8,159,714,641,100,192,33,8,26,88,22,9,55,129,0.3,0.365,0.498,0.862,134,0.389,138,319,14,12,4,2,4,*789,ASMVP-16,bradlph01
8,Dale Murphy,29,ATL,NL,5,162,712,616,118,185,32,2,37,111,10,3,90,141,0.3,0.388,0.539,0.927,152,0.422,161,332,14,1,0,5,15,*8/H,ASMVP-7GGSS,murphda05
9,Juan Samuel,24,PHI,NL,3.1,161,709,663,101,175,31,13,19,74,53,19,33,141,0.264,0.303,0.436,0.739,102,0.349,104,289,8,6,2,5,2,*4/H,,samueju01
10,Julio Franco,26,CLE,AL,1.7,160,703,636,97,183,33,4,6,90,13,9,54,74,0.288,0.343,0.381,0.723,99,0.335,102,242,26,4,0,9,2,*6/4HD,,francju01
11,Lou Whitaker*,28,DET,AL,4.5,152,701,609,102,170,29,8,21,73,6,4,80,56,0.279,0.362,0.456,0.819,124,0.365,123,278,3,2,5,5,9,*4/H,ASGGSS,whitalo01
12,Steve Garvey,36,SDP,NL,1.6,162,699,654,80,184,34,6,17,81,0,0,35,67,0.281,0.318,0.43,0.748,109,0.345,110,281,25,3,1,6,7,*3,AS,garvest01
13,Tom Herr#,29,STL,NL,5.6,159,696,596,97,180,38,3,8,110,31,3,80,55,0.302,0.379,0.416,0.795,123,0.387,134,248,6,2,5,13,5,*4/H,ASMVP-5,herrto01
14,Dave Parker*,34,CIN,NL,4.7,160,694,635,88,198,42,4,34,125,5,13,52,80,0.312,0.365,0.551,0.916,149,0.39,146,350,26,3,0,4,24,*9/H,ASMVP-2SS,parkeda01
15,Harold Baines*,26,CHW,AL,2.4,160,693,640,86,198,29,3,22,113,1,1,42,89,0.309,0.348,0.467,0.815,118,0.359,113,299,23,1,0,10,8,*9/DH,ASMVP-9,baineha01
16,Vince Coleman#,23,STL,NL,2.5,151,692,636,107,170,20,10,1,40,110,25,50,115,0.267,0.32,0.335,0.655,84,0.332,82,213,3,0,5,1,1,*789/H,MVP-11ROY-1,colemvi01
17,Dave Winfield,33,NYY,AL,3.4,155,689,633,105,174,34,6,26,114,19,7,52,96,0.275,0.328,0.471,0.799,118,0.361,119,298,17,0,0,4,8,*9/DH,ASMVP-12GGSS,winfida01
18,Keith Hernandez*,31,NYM,NL,5.1,158,682,593,87,183,34,4,10,91,3,3,77,59,0.309,0.384,0.43,0.814,129,0.369,129,255,14,2,0,10,15,*3/H,MVP-8GG,hernake01
19,Alan Trammell,27,DET,AL,3,149,678,605,79,156,21,7,13,57,14,5,50,71,0.258,0.312,0.38,0.692,90,0.317,87,230,6,2,11,9,4,*6,AS,trammal01
20,Alvin Davis*,24,SEA,AL,3,155,677,578,78,166,33,1,18,78,1,2,90,71,0.287,0.381,0.441,0.822,125,0.374,128,255,14,2,0,7,7,*3/H,,davisal01
21,Eddie Murray#,29,BAL,AL,5.6,156,677,583,111,173,37,1,31,124,5,2,84,68,0.297,0.383,0.523,0.906,149,0.4,149,305,8,2,0,8,12,*3/D,ASMVP-5,murraed02
22,Cecil Cooper*,35,MIL,AL,1.4,154,674,631,82,185,39,8,16,99,10,3,30,77,0.293,0.322,0.456,0.779,112,0.345,107,288,24,2,1,10,3,*3D/H,AS,coopece01
23,Ryne Sandberg,25,CHC,NL,5.9,153,673,609,113,186,31,6,26,83,54,11,57,97,0.305,0.364,0.504,0.868,132,0.404,134,307,10,1,2,4,5,*4/6H,ASMVP-13GGSS,sandbry01
24,Tony Gwynn*,25,SDP,NL,5.2,154,671,622,90,197,29,5,6,46,14,11,45,33,0.317,0.364,0.408,0.773,117,0.364,126,254,17,2,1,1,4,*9/H,ASMVP-23,gwynnto01
25,Kirk Gibson*,28,DET,AL,5.4,154,670,581,96,167,37,5,29,97,30,4,71,137,0.287,0.364,0.518,0.882,140,0.394,138,301,5,5,3,10,16,*98/DH,MVP-18,gibsoki01
26,Lloyd Moseby*,25,TOR,AL,3.1,152,670,584,92,151,30,7,18,70,37,15,76,91,0.259,0.345,0.426,0.772,107,0.352,106,249,12,4,1,5,4,*8/H,,mosebll01
27,George Bell,25,TOR,AL,4.1,157,667,607,87,167,28,6,28,95,21,6,43,90,0.275,0.327,0.479,0.807,115,0.369,118,291,8,8,0,8,6,*7/5,MVP-8SS,bellge02
28,Keith Moreland,31,CHC,NL,1.3,161,667,587,74,180,30,3,14,106,12,3,68,58,0.307,0.374,0.44,0.814,119,0.368,116,258,14,1,2,9,7,*935/H2,MVP-17,morelke01
29,Brett Butler*,28,CLE,AL,4.7,152,666,591,106,184,28,14,5,50,47,20,63,42,0.311,0.377,0.431,0.808,123,0.376,128,255,8,1,8,3,2,*8/HD,,butlebr01
30,Kent Hrbek*,25,MIN,AL,2.8,158,666,593,78,165,31,2,21,93,1,1,67,87,0.278,0.351,0.444,0.795,112,0.355,110,263,12,2,0,4,12,*3/HD,,hrbekke01
