Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Paul Molitor,25,MIL,AL,6.2,160,751,666,136,201,26,8,19,71,41,9,69,93,0.302,0.366,0.45,0.816,129,0.39,139,300,9,1,10,5,1,*5/D6H,MVP-12,molitpa01
2,Tim Raines#,22,MON,NL,2.8,156,731,647,90,179,32,8,4,43,78,16,75,83,0.277,0.353,0.369,0.723,101,0.362,106,239,6,2,6,1,9,*74,AS,raineti01
3,Dwight Evans,30,BOS,AL,6.4,162,727,609,122,178,37,7,32,98,3,2,112,125,0.292,0.402,0.534,0.936,149,0.42,154,325,17,1,3,2,1,*9/D,MVP-7GG,evansdw01
4,Brian Downing,31,CAL,AL,5.6,158,725,623,109,175,37,2,28,84,2,1,86,58,0.281,0.368,0.482,0.85,132,0.387,136,300,14,5,3,8,1,*7/H,MVP-14,downibr01
5,Pete Rose#,41,PHI,NL,-1.1,162,720,634,80,172,25,4,3,54,8,8,66,32,0.271,0.345,0.338,0.683,90,0.319,88,214,12,7,8,3,9,*3,AS,rosepe01
6,Jerry Remy*,29,BOS,AL,0.4,155,716,636,89,178,22,3,0,47,16,9,55,77,0.28,0.337,0.324,0.661,79,0.316,80,206,14,2,18,5,1,*4/H,,remyje01
7,Bill Buckner*,32,CHC,NL,3.7,161,709,657,93,201,34,5,15,105,15,5,36,26,0.306,0.342,0.441,0.783,117,0.368,122,290,14,5,1,10,7,*3,MVP-10,bucknbi01
8,Toby Harrah,33,CLE,AL,6.6,162,708,602,100,183,29,4,25,78,17,3,84,52,0.304,0.398,0.49,0.888,143,0.409,149,295,13,12,7,3,7,*5/46H,ASMVP-20,harrato01
9,Andre Thornton,32,CLE,AL,2.8,161,708,589,90,161,26,1,32,116,6,7,109,81,0.273,0.386,0.484,0.87,138,0.381,135,285,21,2,3,5,18,*D/3H,ASMVP-23,thornan01
10,Omar Moreno*,29,PIT,NL,-1.2,158,706,645,82,158,18,9,3,44,60,26,44,121,0.245,0.292,0.315,0.606,68,0.291,62,203,6,1,10,6,2,*8/H,,morenom01
11,Mike Hargrove*,32,CLE,AL,0.9,160,705,591,67,160,26,1,4,65,2,2,101,58,0.271,0.377,0.338,0.715,99,0.34,103,200,22,3,4,6,3,*3/DH,,hargrmi01
12,Robin Yount,26,MIL,AL,10.5,156,704,635,129,210,46,12,29,114,14,3,54,63,0.331,0.379,0.578,0.957,166,0.433,174,367,19,1,4,10,2,*6/HD,ASMVP-1GGSS,yountro01
13,Johnny Ray#,25,PIT,NL,3.8,162,703,647,79,182,30,7,7,63,16,7,36,34,0.281,0.318,0.382,0.7,92,0.328,91,247,8,1,13,5,1,*4,ROY-2,rayjo01
14,Chili Davis#,22,SFG,NL,1.9,154,701,641,86,167,27,6,19,76,24,13,45,115,0.261,0.308,0.41,0.719,101,0.335,102,263,13,2,7,6,2,*87/9H,ROY-4,davisch01
15,Steve Sax,22,LAD,NL,3.3,150,699,638,88,180,23,7,4,47,49,19,49,53,0.282,0.335,0.359,0.694,97,0.336,100,229,10,2,10,0,1,*4/H,ASROY-1,saxst01
16,Dale Murphy,26,ATL,NL,6.1,162,698,598,113,168,23,2,36,109,23,11,93,134,0.281,0.378,0.507,0.885,142,0.401,145,303,10,3,0,4,9,*879/H,ASMVP-1GGSS,murphda05
17,Cecil Cooper*,32,MIL,AL,5.6,155,696,654,104,205,38,3,32,121,2,3,32,53,0.313,0.342,0.528,0.87,142,0.39,146,345,4,0,4,6,7,*3/D,ASMVP-5SS,coopece01
18,Keith Hernandez*,28,STL,NL,4.6,160,694,579,79,173,33,6,7,94,19,11,100,67,0.299,0.397,0.413,0.81,127,0.37,127,239,10,2,1,12,19,*3/79H,MVP-17GG,hernake01
19,Gary Matthews,31,PHI,NL,2.2,162,690,616,89,173,31,1,19,83,21,4,66,87,0.281,0.349,0.427,0.776,114,0.362,114,263,23,2,0,6,1,*7/H,MVP-23,matthga01
20,Al Oliver*,35,MON,NL,5.3,160,687,617,90,204,43,2,22,109,5,2,61,59,0.331,0.392,0.514,0.906,150,0.418,160,317,11,4,1,4,15,*3/H,ASMVP-3SS,oliveal01
21,Ryne Sandberg,22,CHC,NL,3.2,156,687,635,103,172,33,5,7,54,32,12,36,90,0.271,0.312,0.372,0.683,90,0.323,88,236,7,4,7,5,3,*54/H,ROY-6,sandbry01
22,Greg Luzinski,31,CHW,AL,2.4,159,686,583,87,170,37,1,18,102,1,1,89,120,0.292,0.386,0.451,0.837,130,0.37,124,263,19,6,0,8,11,*D/H,,luzingr01
23,Don Baylor,33,CAL,AL,0.6,157,680,608,80,160,24,1,24,93,10,4,57,69,0.263,0.329,0.424,0.754,106,0.34,102,258,18,7,0,8,7,*D/H,MVP-23,baylodo01
24,Steve Kemp*,27,CHW,AL,2,160,679,580,91,166,23,1,19,98,7,7,89,83,0.286,0.381,0.428,0.808,122,0.368,125,248,8,3,1,6,8,*7/HD,,kempst01
25,Ben Oglivie*,33,MIL,AL,3.4,159,677,602,92,147,22,1,34,102,3,5,70,81,0.244,0.326,0.453,0.78,118,0.351,119,273,6,4,0,1,13,*7/H,AS,oglivbe01
26,Mookie Wilson#,26,NYM,NL,1.9,159,677,639,90,178,25,9,5,55,58,16,32,102,0.279,0.314,0.369,0.683,92,0.334,93,236,5,2,1,3,4,*8/H,,wilsomo01
27,Ray Knight,29,HOU,NL,3.1,158,676,609,72,179,36,6,6,70,2,5,48,58,0.294,0.344,0.402,0.746,116,0.343,118,245,16,5,1,13,9,35,ASMVP-25,knighra01
28,Hal McRae,36,KCR,AL,4.1,159,676,613,91,189,46,8,27,133,4,4,55,61,0.308,0.369,0.542,0.91,147,0.4,147,332,8,5,1,2,7,*D/7,ASMVP-4SS,mcraeha01
29,Lonnie Smith,26,STL,NL,6.2,156,672,592,120,182,35,8,8,69,68,26,64,74,0.307,0.381,0.434,0.815,128,0.39,135,257,11,9,3,4,2,*78H,ASMVP-2,smithlo01
