Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Don Mattingly*,25,NYY,AL,7.2,162,742,677,117,238,53,2,31,113,0,0,53,35,0.352,0.394,0.573,0.967,161,0.424,162,388,17,1,1,10,11,*3/5D,ASMVP-2GGSS,mattido01
2,Tony Fernández#,24,TOR,AL,5,163,727,687,91,213,33,9,10,65,25,12,27,52,0.31,0.338,0.428,0.766,105,0.354,108,294,8,4,5,4,0,*6/H,ASMVP-14GG,fernato01
3,Kirby Puckett,26,MIN,AL,5.7,161,723,680,119,223,37,6,31,96,20,12,34,99,0.328,0.366,0.537,0.903,142,0.406,148,365,14,7,2,0,4,*8/H,ASMVP-6GGSS,puckeki01
4,Marty Barrett,28,BOS,AL,2.9,158,713,625,94,179,39,4,4,60,15,7,65,31,0.286,0.353,0.381,0.733,100,0.348,107,238,13,1,18,4,0,*4,MVP-17,barrema02
5,Joe Carter,26,CLE,AL,5.7,162,709,663,108,200,36,9,29,121,29,7,32,95,0.302,0.335,0.514,0.849,130,0.389,134,341,8,5,1,8,3,937/8H,MVP-9,cartejo01
6,Cal Ripken Jr.,25,BAL,AL,6.7,162,707,627,98,177,35,1,25,81,4,2,70,60,0.282,0.355,0.461,0.816,123,0.37,124,289,19,4,0,6,5,*6,ASSS,ripkeca01
7,Steve Sax,26,LAD,NL,4.9,157,704,633,91,210,43,4,6,56,40,17,59,58,0.332,0.39,0.441,0.83,137,0.387,144,279,12,3,6,3,5,*4/H,ASMVP-13SS,saxst01
8,Tony Gwynn*,26,SDP,NL,6.7,160,701,642,107,211,33,7,14,59,37,9,52,35,0.329,0.381,0.467,0.848,135,0.393,139,300,20,3,2,2,11,*9/H,ASMVP-9GGSS,gwynnto01
9,Rickey Henderson,27,NYY,AL,6.3,153,701,608,130,160,31,5,28,74,87,18,89,81,0.263,0.358,0.469,0.827,125,0.395,129,285,12,2,0,2,2,*87/DH,AS,henderi01
10,Dave Parker*,35,CIN,NL,0.3,162,700,637,89,174,31,3,31,116,1,6,56,126,0.273,0.33,0.477,0.807,117,0.353,112,304,18,1,0,6,16,*9/H,ASMVP-5SS,parkeda01
11,Wade Boggs*,28,BOS,AL,8.1,149,693,580,107,207,47,2,8,71,0,4,105,44,0.357,0.453,0.486,0.939,157,0.426,165,282,11,0,4,4,14,*5/H,ASMVP-7SS,boggswa01
12,Jim Rice,33,BOS,AL,5.6,157,693,618,98,200,39,2,20,110,0,1,62,78,0.324,0.384,0.49,0.874,137,0.394,140,303,19,4,0,9,5,*7/D,ASMVP-3,riceji01
13,Dale Murphy,30,ATL,NL,2.6,160,692,614,89,163,29,7,29,83,7,7,75,141,0.265,0.347,0.477,0.824,121,0.378,128,293,10,2,0,1,5,*8/9H,ASMVP-21GG,murphda05
14,George Bell,26,TOR,AL,3.8,159,690,641,101,198,38,6,31,108,7,8,41,62,0.309,0.349,0.532,0.881,133,0.391,137,341,15,2,0,6,3,*7D/5H,MVP-4SS,bellge02
15,Von Hayes*,27,PHI,NL,5,158,690,610,107,186,46,2,19,98,24,12,74,77,0.305,0.379,0.48,0.859,133,0.388,136,293,14,1,1,4,9,*37/89H,MVP-8,hayesvo01
16,Don Baylor,37,BOS,AL,1.6,160,687,585,93,139,23,1,31,94,3,5,62,111,0.238,0.344,0.439,0.783,112,0.353,112,257,12,35,0,5,8,*D3/7H,MVP-13SS,baylodo01
17,Brett Butler*,29,CLE,AL,4,161,683,587,92,163,17,14,4,51,32,15,70,65,0.278,0.356,0.375,0.731,102,0.35,110,220,8,4,17,5,1,*8/H,,butlebr01
18,José Canseco,21,OAK,AL,3,157,682,600,85,144,29,1,33,117,15,7,65,175,0.24,0.318,0.457,0.775,116,0.348,116,274,12,8,0,9,1,*79/DH,ASMVP-20ROY-1,cansejo01
