Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Cal Ripken Jr.,22,BAL,AL,8.2,162,726,663,121,211,47,2,27,102,0,4,58,97,0.318,0.371,0.517,0.888,144,0.397,147,343,24,0,0,5,0,*6,ASMVP-1SS,ripkeca01
2,Tim Raines#,23,MON,NL,6,156,720,615,133,183,32,8,11,71,90,14,97,70,0.298,0.393,0.429,0.822,129,0.408,137,264,12,2,2,4,9,*7/489H,ASMVP-5,raineti01
3,Lou Whitaker*,26,DET,AL,6.7,161,720,643,94,206,40,6,12,72,17,10,67,70,0.32,0.38,0.457,0.837,133,0.38,135,294,9,0,2,8,8,*4/H,ASMVP-8GGSS,whitalo01
4,Cecil Cooper*,33,MIL,AL,4,160,710,661,106,203,37,3,30,126,2,1,37,63,0.307,0.341,0.508,0.849,138,0.376,137,336,17,1,3,8,7,*3/DH,ASMVP-5,coopece01
5,Ryne Sandberg,23,CHC,NL,3.7,158,699,633,94,165,25,4,8,48,37,11,51,79,0.261,0.316,0.351,0.667,82,0.331,87,222,8,3,7,5,3,*4/H6,GG,sandbry01
6,Andre Dawson,28,MON,NL,6.9,159,698,633,104,189,36,10,32,113,25,11,38,81,0.299,0.338,0.539,0.877,141,0.39,140,341,14,9,0,18,12,*8/H,ASMVP-2GGSS,dawsoan01
7,Steve Sax,23,LAD,NL,1.7,155,692,623,94,175,18,5,5,41,56,30,58,73,0.281,0.342,0.35,0.692,94,0.33,97,218,8,1,8,2,3,*4/H,AS,saxst01
8,Jim Rice,30,BOS,AL,5.7,155,689,626,90,191,34,1,39,126,0,2,52,102,0.305,0.361,0.55,0.911,141,0.4,141,344,31,6,0,5,10,*7/D,ASMVP-4SS,riceji01
9,Dale Murphy,27,ATL,NL,7.1,162,687,589,131,178,24,4,36,121,30,4,90,110,0.302,0.393,0.54,0.933,149,0.427,153,318,15,2,0,6,12,*87/9H,ASMVP-1GGSS,murphda05
10,Dickie Thon,25,HOU,NL,7.4,154,686,619,81,177,28,9,20,79,34,16,54,73,0.286,0.341,0.457,0.798,127,0.361,124,283,12,2,3,8,10,*6,ASMVP-7SS,thondi01
11,Wade Boggs*,25,BOS,AL,7.8,153,685,582,100,210,44,7,5,74,3,3,92,36,0.361,0.444,0.486,0.931,150,0.427,159,283,15,1,3,7,2,*5,MVP-12SS,boggswa01
12,Paul Molitor,26,MIL,AL,4.6,152,682,608,95,164,28,6,15,47,41,8,59,74,0.27,0.333,0.41,0.743,110,0.35,111,249,12,2,7,6,4,*5/HD,,molitpa01
13,George Wright#,24,TEX,AL,3.2,162,681,634,79,175,28,6,18,80,8,7,41,82,0.276,0.321,0.424,0.745,106,0.329,100,269,9,2,1,3,9,*8/H,MVP-24,wrighge03
14,Eddie Murray#,27,BAL,AL,6.7,156,680,582,115,178,30,3,33,111,5,1,86,90,0.306,0.393,0.538,0.93,156,0.41,155,313,13,3,0,9,13,*3/DH,ASMVP-2GGSS,murraed02
15,Buddy Bell,31,TEX,AL,4.7,156,678,618,75,171,35,3,14,66,3,5,50,48,0.277,0.332,0.411,0.743,107,0.343,110,254,24,4,0,6,5,*5/H,GG,bellbu01
16,Gary Ward,29,MIN,AL,4.2,157,676,623,76,173,34,5,19,88,8,1,44,98,0.278,0.326,0.44,0.766,107,0.351,106,274,24,3,1,5,2,*7/HD,AS,wardga01
17,Mike Schmidt,33,PHI,NL,6.9,154,669,534,104,136,16,4,40,109,7,8,128,148,0.255,0.399,0.524,0.923,156,0.409,158,280,10,3,0,4,17,*5/6H,ASMVP-3GGSS,schmimi01
18,Rafael Ramírez,25,ATL,NL,2.1,152,668,622,82,185,13,5,7,58,16,12,36,48,0.297,0.337,0.368,0.705,90,0.332,91,229,8,2,6,2,4,*6/H,MVP-16,ramirra01
19,Bill Buckner*,33,CHC,NL,1.5,153,665,626,79,175,38,6,16,66,12,4,25,30,0.28,0.31,0.436,0.746,102,0.343,99,273,10,5,4,5,5,*37/H,,bucknbi01
20,José Cruz*,35,HOU,NL,6.2,160,664,594,85,189,28,8,14,92,30,16,65,86,0.318,0.385,0.463,0.848,142,0.388,146,275,4,1,1,3,10,*7/H,MVP-6SS,cruzjo01
21,Pedro Guerrero,27,LAD,NL,5.5,160,664,584,87,174,28,6,32,103,23,7,72,110,0.298,0.373,0.531,0.904,150,0.416,157,310,11,2,0,6,12,*5/H3,ASMVP-4,guerrpe01
22,Al Oliver*,36,MON,NL,1.5,157,664,614,70,184,38,3,8,84,1,3,44,44,0.3,0.347,0.41,0.757,111,0.347,110,252,21,2,1,3,17,*3/H9,ASMVP-19,oliveal01
23,Dave Winfield,31,NYY,AL,2.5,152,664,598,99,169,26,8,32,116,15,6,58,77,0.283,0.345,0.513,0.858,138,0.383,137,307,30,2,0,6,2,*78/9H,ASMVP-7GGSS,winfida01
24,Lance Parrish,27,DET,AL,4.7,155,663,605,80,163,42,3,27,114,1,3,44,106,0.269,0.314,0.483,0.796,119,0.347,112,292,21,1,0,13,7,*2D/H,ASMVP-9GGSS,parrila02
25,Mookie Wilson#,27,NYM,NL,2.3,152,663,638,91,176,25,6,7,51,54,16,18,103,0.276,0.3,0.367,0.666,85,0.326,87,234,6,4,2,1,3,*8/H,,wilsomo01
26,Jim Gantner*,30,MIL,AL,4.3,161,662,603,85,170,23,8,11,74,5,6,38,46,0.282,0.329,0.401,0.73,107,0.332,107,242,10,6,11,4,5,*4/H,,gantnji01
27,Robin Yount,27,MIL,AL,7.3,149,662,578,102,178,42,10,17,80,12,5,72,58,0.308,0.383,0.503,0.886,150,0.397,151,291,11,3,1,8,6,*6/DH,ASMVP-18,yountro01
28,Ron Cey,35,CHC,NL,1.8,159,658,581,73,160,33,1,24,90,0,0,62,85,0.275,0.346,0.46,0.805,118,0.366,117,267,20,5,1,9,11,*5/H,,ceyro01
29,Larry Herndon,29,DET,AL,3.9,153,658,603,88,182,28,9,20,92,9,3,46,95,0.302,0.351,0.478,0.829,129,0.374,130,288,20,3,0,6,6,*7D/H9,,herndla01
30,Harold Baines*,24,CHW,AL,2.2,156,655,596,76,167,33,2,20,99,7,5,49,85,0.28,0.333,0.443,0.776,109,0.348,106,264,15,1,3,6,13,*98/H,MVP-10,baineha01
31,Willie Upshaw*,26,TOR,AL,4.7,160,655,579,99,177,26,7,27,104,10,7,61,98,0.306,0.373,0.515,0.887,136,0.391,135,298,8,5,3,7,8,*3/HD,MVP-11,upshawi01
32,Hal McRae,37,KCR,AL,2.1,157,654,589,84,183,41,6,12,82,2,3,50,68,0.311,0.372,0.462,0.833,129,0.374,128,272,18,10,0,5,7,*D/H,,mcraeha01
33,Gary Gaetti,24,MIN,AL,2.9,157,650,584,81,143,30,3,21,78,7,1,54,121,0.245,0.309,0.414,0.724,95,0.332,93,242,18,4,0,8,2,*5/6HD,,gaettga01
34,Ted Simmons#,33,MIL,AL,4,153,650,600,76,185,39,3,13,108,4,2,41,51,0.308,0.351,0.448,0.799,126,0.362,126,269,23,2,0,7,6,2D/H,ASMVP-19,simmote01
35,George Foster,34,NYM,NL,0.8,157,647,601,74,145,19,2,28,90,1,1,38,111,0.241,0.289,0.419,0.708,95,0.328,95,252,19,4,0,4,5,*7/H,,fostege01
36,Jerry Remy*,30,BOS,AL,0.8,146,647,592,73,163,16,5,0,43,11,3,40,35,0.275,0.32,0.319,0.639,72,0.311,74,189,12,0,12,3,2,*4/H,,remyje01
37,Tim Wallach,25,MON,NL,3.2,156,647,581,54,156,33,3,19,70,0,3,55,97,0.269,0.335,0.434,0.769,113,0.363,122,252,9,6,0,5,8,*5,,wallati01
38,Phil Garner,34,HOU,NL,2.1,154,644,567,76,135,24,2,14,79,18,12,63,84,0.238,0.317,0.362,0.678,94,0.318,96,205,4,5,3,6,8,*5/H,,garneph01
39,John Castino,28,MIN,AL,4.5,142,640,563,83,156,30,4,11,57,4,2,62,54,0.277,0.348,0.403,0.751,104,0.36,114,227,11,1,10,4,1,*4/5HD,,castijo01
40,Keith Hernandez*,29,2TM,NL,5.6,150,633,538,77,160,23,7,12,63,9,5,88,72,0.297,0.396,0.433,0.829,131,0.381,133,233,7,2,2,3,14,*3/H,MVP-21GG,hernake01
41,Willie McGee#,24,STL,NL,2.4,147,631,601,75,172,22,8,5,75,39,8,26,98,0.286,0.314,0.374,0.689,90,0.329,86,225,8,0,1,3,2,*8/H,ASGG,mcgeewi01
42,Bill Doran#,25,HOU,NL,4.8,154,629,535,70,145,12,7,8,39,12,12,86,67,0.271,0.371,0.364,0.736,112,0.344,117,195,6,0,7,1,11,*4/H,ROY-5,doranbi02
43,Gorman Thomas,32,2TM,AL,0.5,152,629,535,72,112,23,1,22,69,10,4,80,148,0.209,0.31,0.379,0.69,89,0.32,88,203,13,2,4,8,2,*8,,thomago01
44,Ozzie Smith#,28,STL,NL,3.8,159,626,552,69,134,30,6,3,50,34,7,64,36,0.243,0.321,0.335,0.657,82,0.323,82,185,10,1,7,2,9,*6/H,ASMVP-21GG,smithoz01
45,Hubie Brooks,26,NYM,NL,0.3,150,624,586,53,147,18,4,5,58,6,4,24,96,0.251,0.284,0.321,0.604,68,0.283,62,188,14,4,7,3,2,*5/4H,,brookhu01
46,Johnny Ray#,26,PIT,NL,5.1,151,623,576,68,163,38,7,5,53,18,9,35,26,0.283,0.323,0.399,0.722,97,0.343,102,230,11,0,10,2,3,*4/H,SS,rayjo01
47,Jason Thompson*,28,PIT,NL,1.6,152,623,517,70,134,20,1,18,76,1,0,99,128,0.259,0.376,0.406,0.782,115,0.361,115,210,14,1,0,6,7,*3/H,,thompja01
48,Rickey Henderson,24,OAK,AL,6.9,145,622,513,105,150,25,7,9,48,108,19,103,80,0.292,0.414,0.421,0.835,139,0.414,143,216,11,4,1,1,8,*7/8HD,ASMVP-24,henderi01
49,Keith Moreland,29,CHC,NL,1.8,154,619,533,76,161,30,3,16,70,0,3,68,73,0.302,0.378,0.46,0.838,128,0.386,134,245,16,3,5,10,8,*9/2H,,morelke01
50,Juan Bonilla,27,SDP,NL,0.8,152,617,556,55,132,17,4,4,45,3,0,50,40,0.237,0.301,0.304,0.605,71,0.295,71,169,19,3,3,5,11,*4/H,,bonilju01
51,Dusty Baker,34,LAD,NL,1.7,149,616,531,71,138,25,1,15,73,7,1,72,59,0.26,0.346,0.395,0.742,107,0.351,110,210,9,2,4,7,2,*7/H,,bakerdu01
52,Toby Harrah,34,CLE,AL,2.3,138,615,526,81,140,23,1,9,53,16,10,75,49,0.266,0.363,0.365,0.728,99,0.348,106,192,13,7,4,3,1,*5/4D,,harrato01
53,Rick Manning*,28,2TM,AL,0.3,158,615,569,60,140,20,4,4,43,18,5,38,62,0.246,0.292,0.316,0.609,71,0.283,63,180,13,1,3,4,5,*8/H,,manniri01
54,Dale Berra,26,PIT,NL,1.8,161,614,537,51,135,25,1,10,52,8,5,61,84,0.251,0.327,0.358,0.684,88,0.315,81,192,10,0,7,2,19,*6,,berrada01
55,Larry Parrish,29,TEX,AL,1.5,145,614,555,76,151,26,4,26,88,0,0,46,91,0.272,0.326,0.474,0.8,121,0.359,120,263,20,3,0,9,8,*9D,,parrila01
56,Tony Armas,29,BOS,AL,-0.8,145,613,574,77,125,23,2,36,107,0,1,29,131,0.218,0.254,0.453,0.707,85,0.315,79,260,31,2,0,8,0,*8D/H,,armasto01
57,Brett Butler*,26,ATL,NL,2.9,151,613,549,84,154,21,13,5,37,39,23,54,56,0.281,0.344,0.393,0.738,98,0.347,102,216,5,2,3,5,3,*78H/9,,butlebr01
58,Ron Oester#,27,CIN,NL,0.9,157,613,549,63,145,23,5,11,58,2,2,49,106,0.264,0.322,0.384,0.707,93,0.321,86,211,17,1,7,6,14,*4/H,,oestero01
59,Terry Kennedy*,27,SDP,NL,4.5,149,612,549,47,156,27,2,17,98,1,3,51,89,0.284,0.342,0.434,0.776,117,0.352,116,238,10,2,1,9,15,*2/3H,ASMVP-10SS,kennete02
60,Ken Singleton#,36,BAL,AL,1.9,151,612,507,52,140,21,3,18,84,0,2,99,83,0.276,0.393,0.436,0.829,131,0.37,128,221,22,1,2,3,19,*D/H,,singlke01
61,Tom Brunansky,22,MIN,AL,2.8,151,611,542,70,123,24,5,28,82,2,5,61,95,0.227,0.308,0.445,0.753,103,0.336,99,241,13,4,1,3,4,*98/DH,,brunato01
62,Darrell Evans*,36,SFG,NL,4,142,611,523,94,145,29,3,30,82,6,6,84,81,0.277,0.378,0.516,0.894,150,0.398,150,270,8,2,0,2,12,*35/6H,ASMVP-14,evansda01
63,Billy Sample,28,TEX,AL,3.8,147,611,554,80,152,28,3,12,57,44,8,44,46,0.274,0.331,0.401,0.732,104,0.357,110,222,8,5,4,4,2,*7/H893,,samplbi01
64,Willie Wilson#,27,KCR,AL,1.6,137,611,576,90,159,22,8,2,33,59,8,33,75,0.276,0.316,0.352,0.669,85,0.339,89,203,4,1,1,0,2,*87/H,AS,wilsowi02
65,Gary Carter,29,MON,NL,7.1,145,609,541,63,146,37,3,17,79,1,1,51,57,0.27,0.336,0.444,0.78,116,0.357,116,240,14,7,2,8,7,*2/H3,AS,cartega01
66,Johnnie LeMaster,29,SFG,NL,1,141,608,534,81,128,16,1,6,30,39,19,60,96,0.24,0.317,0.307,0.624,76,0.307,81,164,3,2,8,4,3,*6/H,,lemasjo01
67,Tony Bernazard#,26,2TM,AL,2,139,606,533,65,141,34,3,8,56,23,9,55,97,0.265,0.332,0.385,0.716,94,0.332,92,205,9,2,9,7,3,*4/H,,bernato01
68,Charlie Moore,30,MIL,AL,1.8,151,605,529,65,150,27,6,2,49,11,4,55,42,0.284,0.354,0.369,0.722,106,0.339,109,195,14,4,14,3,5,*9/2D,,moorech02
69,Andre Thornton,33,CLE,AL,1.7,141,605,508,78,143,27,1,17,77,4,2,87,72,0.281,0.383,0.439,0.822,123,0.37,120,223,10,2,0,8,14,*D3/H,,thornan01
70,Lloyd Moseby*,23,TOR,AL,6,151,604,539,104,170,31,7,18,81,27,8,51,85,0.315,0.376,0.499,0.875,134,0.397,135,269,10,5,3,6,4,*8H,MVP-14SS,mosebll01
71,U L Washington#,29,KCR,AL,1.1,144,604,547,76,129,19,6,5,41,40,7,48,78,0.236,0.298,0.32,0.618,71,0.303,69,175,3,1,7,1,0,*6/HD,,washiu_01
72,Julio Franco,24,CLE,AL,0.9,149,598,560,68,153,24,8,8,80,32,12,27,50,0.273,0.306,0.388,0.693,87,0.323,85,217,21,2,3,6,1,*6,ROY-2,francju01
73,Dave Stapleton,29,BOS,AL,-1.6,151,598,542,54,134,31,1,10,66,1,1,40,44,0.247,0.297,0.363,0.661,76,0.299,67,197,19,2,6,8,2,*3/4H,,staplda01
74,Don Baylor,34,NYY,AL,3.5,144,597,534,82,162,33,3,21,85,17,7,40,53,0.303,0.361,0.494,0.856,138,0.382,137,264,10,13,2,8,11,*DH/973,SS,baylodo01
75,George Hendrick,33,STL,NL,3.2,144,594,529,73,168,33,3,18,97,3,4,51,76,0.318,0.373,0.493,0.866,138,0.39,140,261,12,2,0,11,15,39/H,ASMVP-11SS,hendrge01
76,Dave Concepción,35,CIN,NL,0.6,143,593,528,54,123,22,0,1,47,14,9,56,81,0.233,0.303,0.28,0.583,61,0.277,54,148,21,0,2,7,9,*6/5H3,,conceda01
77,Greg Luzinski,32,CHW,AL,2.3,144,593,502,73,128,26,1,32,95,2,1,70,117,0.255,0.352,0.502,0.854,129,0.378,126,252,10,11,0,10,6,*D/H3,MVP-17,luzingr01
